Neuron 1,Neuron 2,Type,Nbr
ASER,ADLL,R,1
ASER,ADLL,Rp,2
ASHL,ADLL,Rp,2
AVAL,ADLL,Rp,2
AVAR,ADLL,Rp,3
AVBL,ADLL,R,2
AVBL,ADLL,Rp,2
AVDL,ADLL,Rp,1
AVDR,ADLL,Rp,4
AVHR,ADLL,Sp,1
AVJL,ADLL,Rp,1
AVJR,ADLL,Rp,3
AWBL,ADLL,R,2
CEPVL,ADLL,Sp,1
OLQVL,ADLL,Rp,1
RIPL,ADLL,Rp,1
SDQR,ADLL,Sp,1
ADLL,ADLR,EJ,1
AIAR,ADLR,R,2
AIAR,ADLR,Rp,8
AIAR,ADLR,Sp,2
AIBR,ADLR,Rp,10
ASER,ADLR,R,1
ASHR,ADLR,R,1
ASHR,ADLR,Rp,2
AVAR,ADLR,Rp,2
AVBL,ADLR,R,1
AVBR,ADLR,R,2
AVDL,ADLR,R,1
AVDL,ADLR,Rp,4
AVDR,ADLR,Rp,2
AVHR,ADLR,Sp,2
AVJR,ADLR,R,1
AVJR,ADLR,Rp,1
AWCR,ADLR,Rp,3
OLLR,ADLR,Rp,1
RICL,ADLR,Rp,1
RICR,ADLR,Rp,1
AFDR,AFDL,EJ,1
AIBL,AFDL,EJ,1
AINR,AFDL,R,1
AINR,AFDL,S,3
AINR,AFDL,Sp,1
AIYL,AFDL,R,7
ASER,AFDL,S,1
ASER,AFDL,Sp,1
AWAL,AFDL,S,1
AWAL,AFDL,Sp,4
AFDL,AFDR,EJ,1
AIBR,AFDR,EJ,1
AINL,AFDR,S,2
AINL,AFDR,Sp,3
AINR,AFDR,Sp,1
AIYR,AFDR,R,12
AIYR,AFDR,Rp,1
ASER,AFDR,Rp,1
ASER,AFDR,Sp,2
AWAR,AFDR,S,1
AWAR,AFDR,Sp,6
RIR,AFDR,Sp,1
ADAL,AIAL,Rp,1
ADLL,AIAL,S,2
ADLL,AIAL,Sp,4
AIAR,AIAL,EJ,1
ASIL,AIAL,EJ,2
AWAL,AIAL,EJ,1
AIBL,AIAL,R,3
AIBL,AIAL,Rp,7
AIML,AIAL,Rp,2
AIML,AIAL,S,1
AIML,AIAL,Sp,4
AINR,AIAL,Sp,2
AIZL,AIAL,Rp,1
AIZL,AIAL,Sp,3
ASEL,AIAL,Sp,3
ASER,AIAL,R,1
ASER,AIAL,Rp,2
ASER,AIAL,S,1
ASER,AIAL,Sp,1
ASGL,AIAL,Rp,1
ASGL,AIAL,S,6
ASGL,AIAL,Sp,3
ASHL,AIAL,Rp,1
ASHL,AIAL,S,5
ASHL,AIAL,Sp,2
ASIR,AIAL,Sp,1
ASKL,AIAL,R,2
ASKL,AIAL,Rp,1
ASKL,AIAL,S,7
ASKL,AIAL,Sp,4
AWCL,AIAL,S,2
AWCR,AIAL,Rp,1
HSNL,AIAL,R,1
HSNL,AIAL,Sp,1
RIFL,AIAL,Rp,1
RMGL,AIAL,R,1
ADAR,AIAR,Rp,1
ADLR,AIAR,Rp,2
ADLR,AIAR,S,2
ADLR,AIAR,Sp,8
ADFR,AIAR,EJ,1
AIAL,AIAR,EJ,1
ASIR,AIAR,EJ,2
AWAR,AIAR,EJ,1
AIBR,AIAR,R,6
AIBR,AIAR,Rp,8
AIMR,AIAR,Sp,5
AIZR,AIAR,Rp,1
AIZR,AIAR,Sp,1
ASER,AIAR,Rp,1
ASER,AIAR,S,1
ASER,AIAR,Sp,2
ASGR,AIAR,R,1
ASGR,AIAR,Rp,1
ASGR,AIAR,S,8
ASGR,AIAR,Sp,2
ASHR,AIAR,S,6
ASHR,AIAR,Sp,4
ASIR,AIAR,S,1
ASIR,AIAR,Sp,2
ASKR,AIAR,S,8
ASKR,AIAR,Sp,3
AWAR,AIAR,Rp,1
AWCL,AIAR,Rp,1
AWCL,AIAR,S,3
AWCL,AIAR,Sp,1
AWCR,AIAR,R,1
AWCR,AIAR,Rp,2
AWCR,AIAR,S,1
AWCR,AIAR,Sp,1
RIFR,AIAR,Rp,2
ADAL,AIBL,S,1
ADAR,AIBL,Sp,1
ADLL,AIBL,S,2
ADLL,AIBL,Sp,5
AIAL,AIBL,S,3
AIAL,AIBL,Sp,7
AFDL,AIBL,EJ,1
DVC,AIBL,EJ,1
RIGR,AIBL,EJ,3
RIMR,AIBL,EJ,1
RIVL,AIBL,EJ,1
AINR,AIBL,Sp,2
AIYL,AIBL,Rp,1
AIZL,AIBL,S,2
AIZL,AIBL,Sp,2
AIZR,AIBL,S,1
AIZR,AIBL,Sp,7
ASEL,AIBL,S,1
ASEL,AIBL,Sp,6
ASER,AIBL,Rp,1
ASER,AIBL,Sp,2
ASGL,AIBL,Sp,3
ASHL,AIBL,S,2
ASHL,AIBL,Sp,3
ASIL,AIBL,S,1
ASKL,AIBL,Sp,2
AVAL,AIBL,Rp,2
AVBL,AIBL,R,1
AVBL,AIBL,Rp,4
AWCL,AIBL,S,1
AWCL,AIBL,Sp,1
BAGL,AIBL,Sp,1
DVC,AIBL,Sp,1
FLPL,AIBL,Rp,1
FLPL,AIBL,S,1
FLPL,AIBL,Sp,1
HSNR,AIBL,Sp,1
RIBR,AIBL,R,1
RIBR,AIBL,Rp,3
RIBR,AIBL,S,1
RIBR,AIBL,Sp,1
RIFL,AIBL,Rp,1
RIGR,AIBL,Rp,1
RIML,AIBL,Rp,2
RIMR,AIBL,R,1
RIMR,AIBL,Rp,12
RIMR,AIBL,Sp,4
SAADL,AIBL,Rp,2
SAADL,AIBL,Sp,1
SAADR,AIBL,Rp,2
SAAVL,AIBL,Sp,1
SDQR,AIBL,Sp,2
SMDDR,AIBL,Rp,4
ADAL,AIBR,Sp,2
ADAR,AIBR,Sp,1
ADLL,AIBR,Sp,1
ADLR,AIBR,Sp,10
AIAR,AIBR,S,6
AIAR,AIBR,Sp,8
AFDR,AIBR,EJ,1
DVC,AIBR,EJ,2
RIGL,AIBR,EJ,3
RIML,AIBR,EJ,1
RIS,AIBR,EJ,1
RIVR,AIBR,EJ,1
AIZL,AIBR,S,2
AIZL,AIBR,Sp,6
AIZR,AIBR,Sp,1
ASEL,AIBR,S,2
ASEL,AIBR,Sp,2
ASER,AIBR,S,1
ASER,AIBR,Sp,9
ASGR,AIBR,Sp,2
ASHR,AIBR,S,1
ASHR,AIBR,Sp,2
ASIR,AIBR,Sp,1
AVAR,AIBR,Rp,1
AVBR,AIBR,Rp,3
AVEL,AIBR,Rp,1
AWBL,AIBR,Sp,1
AWCL,AIBR,Sp,1
AWCR,AIBR,Sp,4
DVC,AIBR,Sp,3
FLPL,AIBR,Sp,2
FLPR,AIBR,Sp,1
HSNR,AIBR,Sp,1
RIAL,AIBR,Rp,1
RIBL,AIBR,Rp,4
RIBL,AIBR,Sp,2
RIML,AIBR,R,4
RIML,AIBR,Rp,12
RIMR,AIBR,Rp,1
RMGL,AIBR,S,1
SAADL,AIBR,Rp,1
SAADR,AIBR,S,1
SDQL,AIBR,Sp,1
SMDDL,AIBR,R,1
SMDDL,AIBR,Rp,2
SMDVL,AIBR,Rp,1
AIAL,AIML,R,1
AIAL,AIML,Rp,4
AIAL,AIML,Sp,2
SIBDR,AIML,EJ,1
ALML,AIML,Rp,1
ASGL,AIML,Rp,2
ASKL,AIML,Rp,2
ASKL,AIML,Sp,2
AVBR,AIML,Rp,2
AVDL,AIML,Rp,1
AVDR,AIML,Rp,1
AVER,AIML,Rp,1
AVFL,AIML,R,1
AVFL,AIML,Rp,3
AVFR,AIML,Rp,1
AVHL,AIML,Rp,2
AVHR,AIML,Rp,1
AVJL,AIML,Rp,1
RIFL,AIML,Rp,1
SMBVL,AIML,R,1
AIAR,AIMR,Rp,5
ASGR,AIMR,Rp,2
ASJR,AIMR,Rp,2
ASKR,AIMR,Rp,3
ASKR,AIMR,Sp,1
AVDR,AIMR,Rp,1
AVFL,AIMR,R,1
AVFL,AIMR,Rp,1
AVFR,AIMR,R,1
AVFR,AIMR,Rp,1
HSNL,AIMR,Rp,1
HSNR,AIMR,Rp,2
OLQDR,AIMR,Rp,1
RIFR,AIMR,Rp,1
RMGR,AIMR,R,1
RMGR,AIMR,Rp,1
RMGR,AIMR,Sp,1
AFDR,AINL,R,2
AFDR,AINL,Rp,3
ADEL,AINL,EJ,1
AINR,AINL,EJ,2
ASGR,AINL,EJ,1
AUAR,AINL,EJ,1
ASEL,AINL,R,1
ASEL,AINL,Rp,2
ASGR,AINL,R,1
AUAR,AINL,Rp,1
BAGL,AINL,Rp,3
RIBL,AINL,R,1
RIBR,AINL,Rp,2
AFDL,AINR,R,3
AFDL,AINR,Rp,1
AFDL,AINR,S,1
AFDR,AINR,Rp,1
AIAL,AINR,Rp,2
AIBL,AINR,Rp,2
AINL,AINR,EJ,2
ASGL,AINR,EJ,1
AUAL,AINR,EJ,1
ASEL,AINR,Rp,1
ASER,AINR,R,1
ASER,AINR,Rp,1
ASGL,AINR,Sp,1
AUAR,AINR,Rp,1
BAGR,AINR,Rp,3
RIBL,AINR,Rp,2
RID,AINR,Rp,1
AFDL,AIYL,S,7
AIBL,AIYL,Sp,1
AIYR,AIYL,EJ,1
RIML,AIYL,EJ,1
AIZL,AIYL,R,3
AIZL,AIYL,Rp,10
ASEL,AIYL,S,8
ASEL,AIYL,Sp,5
ASER,AIYL,S,2
ASER,AIYL,Sp,2
ASIL,AIYL,Sp,2
AWAL,AIYL,Rp,3
AWAL,AIYL,Sp,1
AWCL,AIYL,Rp,1
AWCL,AIYL,S,7
AWCL,AIYL,Sp,3
AWCR,AIYL,Rp,1
AWCR,AIYL,S,1
AWCR,AIYL,Sp,3
BAGR,AIYL,Sp,1
HSNR,AIYL,Rp,1
RIAL,AIYL,R,1
RIAL,AIYL,Rp,6
RIBL,AIYL,Rp,4
ADFR,AIYR,Rp,1
ADFR,AIYR,Sp,1
AFDR,AIYR,S,12
AFDR,AIYR,Sp,1
AIYL,AIYR,EJ,1
RIMR,AIYR,EJ,1
AIZR,AIYR,Rp,8
ASEL,AIYR,S,5
ASEL,AIYR,Sp,1
ASER,AIYR,S,4
ASER,AIYR,Sp,10
ASGR,AIYR,S,1
AUAR,AIYR,Sp,1
AWAR,AIYR,Rp,1
AWAR,AIYR,Sp,2
AWCR,AIYR,S,3
AWCR,AIYR,Sp,6
HSNL,AIYR,Rp,1
RIAR,AIYR,Rp,6
RIBR,AIYR,Rp,2
ADFL,AIZL,S,5
ADFL,AIZL,Sp,7
AIAL,AIZL,Rp,3
AIAL,AIZL,Sp,1
AIBL,AIZL,R,2
AIBL,AIZL,Rp,2
AIBR,AIZL,R,2
AIBR,AIZL,Rp,6
AIYL,AIZL,S,3
AIYL,AIZL,Sp,10
AIZR,AIZL,EJ,2
ASGL,AIZL,EJ,1
ASHL,AIZL,EJ,1
ASEL,AIZL,Rp,1
ASIL,AIZL,Sp,1
AVER,AIZL,Rp,5
AWAL,AIZL,S,3
AWAL,AIZL,Sp,7
AWBL,AIZL,S,3
AWBL,AIZL,Sp,6
DVA,AIZL,R,1
DVA,AIZL,Sp,3
HSNL,AIZL,Sp,2
HSNR,AIZL,Sp,1
RIAL,AIZL,R,3
RIAL,AIZL,Rp,5
RIGL,AIZL,R,1
RIH,AIZL,Sp,4
RIML,AIZL,Rp,4
RIR,AIZL,S,3
RIR,AIZL,Sp,3
SMBDL,AIZL,R,1
SMBDL,AIZL,Rp,8
SMBVL,AIZL,Rp,7
ADFR,AIZR,S,3
ADFR,AIZR,Sp,5
AIAR,AIZR,Rp,1
AIAR,AIZR,Sp,1
AIBL,AIZR,R,1
AIBL,AIZR,Rp,7
AIBR,AIZR,Rp,1
AIYR,AIZR,Sp,8
AIZL,AIZR,EJ,2
ASGR,AIZR,EJ,1
ASHR,AIZR,EJ,1
AWAR,AIZR,EJ,1
AVEL,AIZR,Rp,4
AVER,AIZR,R,1
AVER,AIZR,Rp,1
AWAR,AIZR,S,2
AWAR,AIZR,Sp,5
AWBR,AIZR,S,1
AWBR,AIZR,Sp,3
DVA,AIZR,R,1
DVA,AIZR,Rp,1
HSNL,AIZR,Sp,1
HSNR,AIZR,Sp,1
RIAR,AIZR,R,4
RIAR,AIZR,Rp,3
RIBR,AIZR,S,1
RIGL,AIZR,Sp,1
RIH,AIZR,Sp,4
RIMR,AIZR,R,1
RIMR,AIZR,Rp,3
RIR,AIZR,S,4
RIR,AIZR,Sp,1
SMBDR,AIZR,Rp,5
SMBVR,AIZR,Rp,3
SMDDR,AIZR,Rp,1
ADEL,ALA,Rp,1
ADER,ALA,Sp,1
ADLL,ALA,S,2
RID,ALA,EJ,1
AVAL,ALA,Rp,1
AVEL,ALA,Rp,2
AVER,ALA,R,1
AVER,ALA,Rp,1
RMDR,ALA,Rp,1
AIML,ALML,Sp,1
AVM,ALML,EJ,1
AVDR,ALML,Rp,1
AVEL,ALML,Rp,1
BDUL,ALML,R,5
BDUL,ALML,Rp,1
CEPDL,ALML,R,3
CEPVL,ALML,Rp,2
RIFL,ALML,Sp,2
RMDDR,ALML,R,1
RMGL,ALML,Rp,1
RMGL,ALML,Sp,1
SDQL,ALML,Rp,1
SDQL,ALML,Sp,1
AVM,ALMR,EJ,1
BDUR,ALMR,R,5
BDUR,ALMR,Sp,1
CEPDR,ALMR,R,1
CEPVR,ALMR,R,1
RMDDL,ALMR,Rp,1
SIADL,ALMR,Rp,1
SMBDR,ALNL,EJ,1
RIGL,ALNL,Sp,1
RMGL,ALNL,Sp,1
SAAVL,ALNL,Rp,3
SAAVL,ALNL,Sp,1
SMBDR,ALNL,Rp,2
SMDVL,ALNL,Rp,1
ADER,ALNR,R,1
RIGR,ALNR,Sp,1
RMGR,ALNR,Sp,1
RMHR,ALNR,Rp,1
SAAVR,ALNR,Rp,2
SMBDL,ALNR,Rp,2
SMDDR,ALNR,Rp,1
SMDVL,ALNR,R,1
AVBL,AQR,EJ,1
AVKL,AQR,EJ,2
AVKR,AQR,EJ,1
RIGL,AQR,EJ,2
RIGR,AQR,EJ,1
AVAL,AQR,R,1
AVAL,AQR,Rp,1
AVAR,AQR,R,1
AVAR,AQR,Rp,2
AVBL,AQR,R,1
AVBL,AQR,Rp,2
AVBR,AQR,Rp,4
AVDL,AQR,Rp,1
AVDR,AQR,Rp,1
AVHR,AQR,Sp,2
AVJL,AQR,Rp,1
BAGL,AQR,Rp,2
BAGR,AQR,Rp,2
DVA,AQR,S,1
DVA,AQR,Sp,3
RIAL,AQR,R,1
RIAL,AQR,Rp,2
RIAR,AQR,R,1
RIAR,AQR,Rp,1
URXL,AQR,Rp,1
AVAL,AS01,EJ,3
AVAR,AS01,EJ,2
AVAR,AS01,S,1
AVBR,AS01,S,1
AVDL,AS01,S,1
AVEL,AS01,Sp,1
AVER,AS01,S,1
AVER,AS01,Sp,2
AVAL,AS02,S,1
AVAR,AS02,S,2
AVER,AS02,Sp,2
RID,AS02,Sp,1
AVAL,AS03,EJ,2
AVAR,AS03,EJ,1
AVAL,AS03,S,1
AVAR,AS03,S,1
AVBL,AS03,S,1
AVBR,AS03,S,1
AVER,AS03,S,1
AVAL,AS04,S,1
AVAR,AS04,S,1
AVBL,AS04,S,1
AVBR,AS04,S,1
AVDL,AS04,Sp,1
AVAL,AS05,EJ,1
AVAR,AS05,EJ,1
AVAL,AS05,S,3
AVAR,AS05,S,1
AVBL,AS05,S,1
AVBR,AS05,S,1
AVDL,AS05,S,1
AVDR,AS05,S,1
HSNR,AS05,S,1
AVAL,AS06,EJ,1
AVAR,AS06,EJ,1
AVBR,AS06,EJ,1
AVAR,AS06,S,2
AVBL,AS06,S,1
AVBR,AS06,S,1
AVAL,AS07,EJ,6
AVAR,AS07,EJ,5
AVBL,AS07,EJ,2
AVBR,AS07,EJ,2
AVAL,AS07,S,8
AVAR,AS07,S,3
AVBR,AS07,S,1
AVAL,AS08,EJ,4
AVAR,AS08,EJ,3
AVAL,AS08,S,5
AVAR,AS08,S,6
AVAL,AS09,EJ,4
AVAR,AS09,EJ,1
DVB,AS09,EJ,7
AVAL,AS09,S,8
AVAR,AS09,Rp,1
AVAR,AS09,S,5
AVBL,AS09,S,1
AVAL,AS10,EJ,1
AVAR,AS10,EJ,1
AVAL,AS10,Sp,2
AVAR,AS10,Sp,1
AVBL,AS10,S,1
AVBR,AS10,S,1
AVDL,AS10,Sp,1
AVDR,AS10,S,1
AVAL,AS11,Sp,4
AVAR,AS11,Sp,6
AVDL,AS11,Sp,2
ADFR,ASEL,R,1
AIAL,ASEL,Rp,3
AIBL,ASEL,R,1
AIBL,ASEL,Rp,6
AIBR,ASEL,R,2
AIBR,ASEL,Rp,2
AINL,ASEL,S,1
AINL,ASEL,Sp,2
AINR,ASEL,Sp,1
AIYL,ASEL,R,8
AIYL,ASEL,Rp,5
AIYR,ASEL,R,5
AIYR,ASEL,Rp,1
AIZL,ASEL,Sp,1
ASIR,ASEL,S,2
AWAL,ASEL,Sp,4
AWAR,ASEL,Sp,1
AWCL,ASEL,Rp,4
AWCL,ASEL,Sp,1
AWCR,ASEL,Rp,1
AWCR,ASEL,Sp,1
RIAR,ASEL,R,1
ADLL,ASER,S,1
ADLL,ASER,Sp,2
ADLR,ASER,S,1
AFDL,ASER,R,1
AFDL,ASER,Rp,1
AFDR,ASER,Rp,2
AFDR,ASER,Sp,1
AIAL,ASER,R,1
AIAL,ASER,Rp,1
AIAL,ASER,S,1
AIAL,ASER,Sp,2
AIAR,ASER,R,1
AIAR,ASER,Rp,2
AIAR,ASER,Sp,1
AIBL,ASER,Rp,2
AIBL,ASER,Sp,1
AIBR,ASER,R,1
AIBR,ASER,Rp,9
AINR,ASER,S,1
AINR,ASER,Sp,1
AIYL,ASER,R,2
AIYL,ASER,Rp,2
AIYR,ASER,R,4
AIYR,ASER,Rp,10
ASIL,ASER,S,1
AWAR,ASER,Rp,1
AWAR,ASER,Sp,2
AWCL,ASER,Rp,1
AWCR,ASER,Rp,1
AIAL,ASGL,R,6
AIAL,ASGL,Rp,3
AIAL,ASGL,Sp,1
AIBL,ASGL,Rp,3
AIML,ASGL,Sp,2
AINR,ASGL,Rp,1
AINR,ASGL,EJ,1
AIZL,ASGL,EJ,1
ASKL,ASGL,Rp,1
AWAL,ASGL,Sp,1
AIAR,ASGR,R,8
AIAR,ASGR,Rp,2
AIAR,ASGR,S,1
AIAR,ASGR,Sp,1
AIBR,ASGR,Rp,2
AIMR,ASGR,Sp,2
AINL,ASGR,S,1
AIYR,ASGR,R,1
AINL,ASGR,EJ,1
AIZR,ASGR,EJ,1
AWBR,ASGR,S,1
AWCR,ASGR,Sp,1
CEPVR,ASGR,Sp,1
ADAL,ASHL,Rp,1
ADFL,ASHL,Rp,3
ADLL,ASHL,Sp,2
AIAL,ASHL,R,5
AIAL,ASHL,Rp,2
AIAL,ASHL,Sp,1
AIBL,ASHL,R,2
AIBL,ASHL,Rp,3
ADAL,ASHL,EJ,1
AIZL,ASHL,EJ,1
ASHR,ASHL,EJ,1
RICL,ASHL,EJ,2
RMGL,ASHL,EJ,1
ASKL,ASHL,Rp,1
AVAL,ASHL,Rp,2
AVBL,ASHL,Rp,6
AVDL,ASHL,Rp,2
AVDR,ASHL,R,2
AVDR,ASHL,Rp,2
HSNL,ASHL,Sp,1
HSNR,ASHL,Sp,2
RIAL,ASHL,Rp,4
RIML,ASHL,Rp,1
RIPL,ASHL,Rp,1
RMGL,ASHL,Sp,1
URXL,ASHL,Sp,1
ADAR,ASHR,Rp,2
ADFR,ASHR,Rp,2
ADFR,ASHR,Sp,1
ADLR,ASHR,S,1
ADLR,ASHR,Sp,2
AIAR,ASHR,R,6
AIAR,ASHR,Rp,4
AIBR,ASHR,R,1
AIBR,ASHR,Rp,2
ADAR,ASHR,EJ,1
AIZR,ASHR,EJ,1
ASHL,ASHR,EJ,1
ASKR,ASHR,EJ,1
RICR,ASHR,EJ,2
RMGR,ASHR,EJ,1
ASIR,ASHR,S,1
AVAR,ASHR,R,1
AVAR,ASHR,Rp,4
AVBR,ASHR,Rp,3
AVDL,ASHR,R,1
AVDL,ASHR,Rp,4
AVDR,ASHR,Rp,1
AVER,ASHR,Rp,3
AWBR,ASHR,Sp,2
HSNL,ASHR,Sp,2
HSNR,ASHR,Rp,1
RIAR,ASHR,Rp,2
RIFR,ASHR,Sp,2
RMGR,ASHR,Rp,2
RMGR,ASHR,Sp,1
AIBL,ASIL,R,1
AIYL,ASIL,Rp,2
AIZL,ASIL,Rp,1
ASER,ASIL,R,1
AIAL,ASIL,EJ,2
ASIR,ASIL,EJ,1
ASKL,ASIL,R,2
AWCL,ASIL,R,1
AWCL,ASIL,Rp,1
AWCR,ASIL,R,1
AWCR,ASIL,Rp,1
RIBL,ASIL,Rp,1
AIAL,ASIR,Rp,1
AIAR,ASIR,R,1
AIAR,ASIR,Rp,2
AIBR,ASIR,Rp,1
ASEL,ASIR,R,2
ASHR,ASIR,R,1
AIAR,ASIR,EJ,2
ASIL,ASIR,EJ,1
AWCL,ASIR,Rp,1
AWCR,ASIR,R,1
AWCR,ASIR,Rp,1
ASJR,ASJL,EJ,1
ASKL,ASJL,Rp,4
AVFR,ASJL,Sp,1
HSNL,ASJL,Rp,1
HSNR,ASJL,Rp,1
AIMR,ASJR,Sp,2
ASJL,ASJR,EJ,1
ASKR,ASJR,R,1
ASKR,ASJR,Rp,3
HSNL,ASJR,S,1
HSNR,ASJR,Rp,1
AIAL,ASKL,R,7
AIAL,ASKL,Rp,4
AIAL,ASKL,S,2
AIAL,ASKL,Sp,1
AIBL,ASKL,Rp,2
AIML,ASKL,Rp,2
AIML,ASKL,Sp,2
ASGL,ASKL,Sp,1
ASHL,ASKL,Sp,1
ASIL,ASKL,S,2
ASJL,ASKL,Sp,4
ASKR,ASKL,EJ,1
RMGL,ASKL,EJ,1
AVFR,ASKL,Sp,1
HSNL,ASKL,Sp,1
AIAR,ASKR,R,8
AIAR,ASKR,Rp,3
AIMR,ASKR,Rp,1
AIMR,ASKR,Sp,3
ASJR,ASKR,S,1
ASJR,ASKR,Sp,3
ASHR,ASKR,EJ,1
ASKL,ASKR,EJ,1
RMGR,ASKR,EJ,1
AWAR,ASKR,Rp,1
CEPVR,ASKR,Rp,1
RIFR,ASKR,Rp,1
ADFL,AUAL,S,1
ADFL,AUAL,Sp,4
AINR,AUAL,EJ,1
AUAR,AUAL,EJ,1
AWBL,AUAL,EJ,1
AVAL,AUAL,R,1
AVAL,AUAL,Rp,2
AVDR,AUAL,Rp,1
AVEL,AUAL,Rp,3
